Test, Result Name, Result Value, Comment
Execution Time Test, AES-128-CTR encrypt 1048576 bytes Test 3, 0.767294969, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes Test 4, 0.778829615, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes Test 5, 0.768573994, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes Test 6, 0.759486897, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes Test 7, 0.742870899, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes MIN, 0.742870899, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes MAX, 0.778829615, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes AVG, 0.765576432, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes Test 0, 0.873271993, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes Test 1, 0.870543809, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
